"rating","date","content","title","variant","images","verified","author","product","url"
"2.0","23-Aug-2019","Everything about the physical device, i feel like is pretty well made. Good set up, some minor future issues that are mitigated by screen protectors and similar. Several easy to work with ways to play it, kinda fun in its novelties on its build. My issue? 1) games are ridiculously expensive. So many are over priced. 2) Online play required by Nintendo for a not good service is poor. Especially for things like minecraft. 3) Where are any older games. The games that Nintendo has no need to keep out of the store. The old pokemon, Zelda games, or any games really. Like, great you are putting witcher 3 on there...But not Orignal Zelda and Ocherina of time? Physical? Great! Nintendo online and games? Bad. 1 or 2 games does not make the switch worth buying. PC has better prices, easier to work with, and you can play almost any game out there.","The device is great. The everything else is not.","Style: Console Color: Gray HAC-001(-01)","","Verified Purchase","DWBelfils","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"1.0","03-Apr-2020","I like the Switch Console and even with its quirks, at $299 it's fairly priced and hopefully will be again when the demand goes down.  It's nowhere nearly as powerful as what Playstation and Xbox offer but it's so much more flexible that it can get away with a $300 price tag.  $450 though?  No, not worth it at all.","Good Console at $299.  Junk at This Price Gouge","Style: Console Color: Gray HAC-001(-01)","","","DNA B","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"1.0","09-Apr-2020","The Nintendo is cool and all but I got price gouged hard on it. I promised my kid one for Quarantine. Apparently people have been buying them out to resell on ebay and Amazon. I am one of those victims.","I got price gouged","Style: Console Color: Gray HAC-001(-01)","","Verified Purchase","robert a acord","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"5.0","06-Sep-2019","This is my review of the 'V2' (2019) version of the Nintendo Switch (model #HAC-001(-01)). So a little background, I was a enthusiastic PC gamer in college who built my own PCs for the purpose and am now - due to the demands of adulthood - someone who only plays the occasional game. My last handheld Nintendo console was the black and white Game Boy Pocket in the early 90's, so I've been away from the platform ---- a while. I bought the Switch purely because I learned they had ported Skyrim to it, and as a huge fan of the Elder Scrolls genre I was hoping to devote some of my train commute to questing around Tamriel. In this sense, the Switch does not disappoint. I am not a graphics connoisseur, but - compared to the PC version - Skryim plays really well on the Switch. No perceptible lag, colors are crisp. Yes, it's missing the expansions and yes, the text can be a little small, but that's a fair trade-off for the portability this platform brings. So far, I only own 2 games - Skyrim and MarioKart 8 (another throwback to my college dorm days on the N64), and I love playing both on the Switch, MaroKart is obviously the newer game and so the graphics and gameplay are much better but I'm a still a sucker for Skyrim (at least until the next ES is released, hopefully in my lifetime). Anyway, all this to say the Nintendo Switch is a great console for busy adults who want to reminisce about the fun they had 10, 20, or even 30 years ago. The Switch doesn't take itself too seriously (which I love) but that means it might not be the right choice for people concerned with the perfect graphic or gameplay experience - there are dedicated consoles that do this much better. What the Switch does is make gaming on the go effortless, fun for the average busy person and something you can really enjoy with your whole family - which I think was Nintendo's real goal here all along.","Love the Switch - A Casual Gamer's Best Console","Style: Console Color: Gray HAC-001(-01)","","Verified Purchase","Sherlockian","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"1.0","07-Sep-2019","Wow how disappointing dont buy this until they get this improved, older version of this is better in my opinion. The newer version gave me 8+ crashes of system and game crashes leading up to finally unable to play this system having to return this system ,what a horrible experience this was. Being a big Nintendo switch player what a great disappointment this was. Hopefully they improve this newer version system to where this does not happen again or to someone else.","Disappointing","Style: Console Color: Gray HAC-001(-01)","","Verified Purchase","zoconnies","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"5.0","22-Aug-2019","Good Seller, Console came with everything as specified on description. I'll upload some pictures so you can see the box and hardware quality.","Great buy!","Style: Console Color: Gray HAC-001(-01)","https://images-na.ssl-images-amazon.com/images/I/61pDh6qzriL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71BfhW3kHoL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71LSNgSN4uL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71YXFzciSvL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71vcfyH5GgL._SY88.jpg","Verified Purchase","pedro sarmiento","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"5.0","15-Sep-2019","This revised model of the Switch comes with a number of features that I honestly can't fully appreciate as someone who didn't own the previous model. The big thing that drew me in was the extended battery life, even though so far I haven't played much in handheld mode and not at all in tabletop, but they use the same amount of battery either way I would imagine. The reason I'm giving this system five stars probably say more about how good it is than anything else. But I pretty much expected as much. I'm sure by now you can go online and find more detailed reviews for the gaming system, but in case you're wondering here, this one comes with the system, two gray joycons, two attachments to turn each joycon into its own controller, a base to connect both joycons into the formation of a singular controller, the required cables, and the Switch dock. So you'll probably want to buy a few things alongside this such as an SD card for reasonable storage space, a pro controller for a more standard controller experience, maybe a dock sleeve to prevent the possibility of scratching the screen from insertion and ejection of the system, an online pass if you plan to play any games with online features... just basically a lot of things that would be nice if they came with the system itself. This will inflate the price further, but the thing here is that this is going to replace the old models of the Switch and simply make this the main one manufactured now. So... basically, if you want a cheaper Switch you'll want to get a Switch Lite and this one will still cost about 300 bucks like the 2.5+ year-old original variant still costs. That is, unless you want to go used. I'm only bringing up these points because while this is a great system, I do think you should be aware of what is likely to happen with prices and availability going forward and plan accordingly. Once I realize a Switch was still going to cost the same if I wanted the ability to do on and off TV play I decided I might as well just hop on board with this newer variant. I'd recommend you do the same as it has had tweaks to make it just a slightly better version all around than the previous model. Otherwise, if price is a concern, wait for the Switch Lite and see how it tickles your fancy. Also, here's tip. If you want to turn the system off as opposed to leaving it in sleep mode, simply hold down the power button on the system for a few seconds and then a menu will appear with the option to restart or shut down. Also note that you cannot play on the TV off of the Switch's battery power. The dock needs to be plugged in for the dock to function. I hope something in here was helpful.","(New) Nintendo Switch HAC-001(-01)","Style: Console Color: Gray HAC-001(-01)","","Verified Purchase","Sam Lilly","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"1.0","01-Oct-2019","So, I did some research and bought this switch because it is advertised as the 'NEW' model with serial number beginning with 'XKW'. It is said to have better battery life, possibly a boosted processor, and generally just be an updated switch model. That being said, the old discontinued model still retails for the same amount. I checked my model on my 'NEW AND IMPROVED' switch, and it is the sane as my 2018 switch XAW. Needless to say, I am rather disappointed in Amazon. I installed all my games, transferred data, and now I am stuck with wiping and returning it or just settling for a mediocre version of the switch. Thanks for the annoyance Amazon! Also, the left Joy-con bumper was broken right out of the box! It was also covered in grease. $300 for outdated switch, and a broken controller. I don't normally leave nasty reviews, but I'm pretty bummed. Also nintendo will switch out the outdated one, but I have to ship it to them!","Buyer beware; you're in for a rip off.","Style: Console Color: Neon Blue and Red HAC-001(-01)","https://images-na.ssl-images-amazon.com/images/I/71+bcKXYDJL._SY88.jpg","Verified Purchase","Abbie","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"1.0","14-Nov-2019","Ordered new model (HAC-001 [01]), with better screen and battery life. Was sent discontinued model HAC-001 instead. New models serial starts with XKW, old starts with XAW. Be aware, I did my research and bought what was advertised as the updated model but got bit instead.","The old ""Switch"" and bait.","Style: Console Color: Gray HAC-001(-01)","https://images-na.ssl-images-amazon.com/images/I/71N1yOr2vaL._SY88.jpg","Verified Purchase","William D Ulibarri II","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
"5.0","23-Aug-2019","New reversion is absolutely worth, games run smoothly, nice brightness and white balance. Awesome battery life","Battery life is awesome","Style: Console Color: Gray HAC-001(-01)","","Verified Purchase","Jose G. Perez Marrero","Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)","https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/product-reviews/B07VGRJDFY/ref=cm_cr_dp_d_show_all_btm_1?ie=UTF8&pageNumber=1&reviewerType=all_reviews
"
