"title","content","date","variant","images","verified","author","rating","product","url"
"Cost sucks...make sure you get everything you pay extra $$ for","I am happy I have a switch finally but hate that it costs $200+ more than they’re worth. One thing to add on is I didn’t get the additional memory card like I paid for but saw other people had gotten theirs???","24 Jul 2020","","","Verified Purchase","Amazon Customer","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"Super","Nice","31 Jul 2020","","","Verified Purchase","Tony","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"No trabaja ya el Nintendo switch y dicen que la garantía ya paso","Me dieron un mes de garantia y acaba de terminar la garantía hace. 2 s semanas y el Nintendo switch ya no sirve y ahora me dicen que la garantía ya termino page mas de 400 dolares","06 Oct 2020","","","Verified Purchase","Javier","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"Came as advertised","Came as advertised and even though it did not say it would be in my hands in two days it was. No issues with the console or attachments.","28 Jun 2020","","","Verified Purchase","Matthew Ornelas","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"Arrived faster than expected","Perfect original packaging brand new.","30 Jul 2020","","https://images-na.ssl-images-amazon.com/images/I/71oyHZtdqXL._SY88.jpg","Verified Purchase","princessrnpl","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"❤️","❤️","05 Feb 2020","","","Verified Purchase","Reanell Rolle","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"You can trust it...","Came exactly as expected!! This was sold out everywhere and I have such a hard time convincing myself to buy such expensive things online...but I'm glad I did and so is my son! I know it made his day when it got here!","08 Jun 2020","","","Verified Purchase","Stephanie Bisnauthsing","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Fast shipping, and great customer service!","Console did not come with a memory card as advertised. Contacted the seller and informed a memory card would be shipped this week! Came a week early too!","26 Aug 2020","","","Verified Purchase","Mike Richards","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Great product","Highly recommend great price for a great product! Wish I came with bigger memory card though. I would advise buying a bigger memory card.","07 Nov 2020","","","Verified Purchase","Gabriel R.","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Happy","Works really well, and charges fast. Easy to set up for the most part. My only thing is that I feel like it's too expensive, but maybe that's just me.","28 Jul 2020","","","Verified Purchase","Raven","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Great buy","Great Buy! Came packaged securely and worked/looked perfect.","25 Apr 2020","","","Verified Purchase","Gage","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Lied About Memory Card","Did not come with 32 GM memory card as advertised.","26 Oct 2020","","","Verified Purchase","Justin","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Great product","I bought this game for my 14 year old niece. She loved it! Thank you!","09 Jun 2020","","","Verified Purchase","Jessica Lopez","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Muy bueno","Maravilloso","27 Jul 2020","","","Verified Purchase","Cheyni","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"Something to do during  the lockdown","I play it every day","07 Aug 2020","","","Verified Purchase","david hartless","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
"
"OVERPRICED, but overall worth it!","I bought this item a month ago and it’s amazing. The product and packaging was perfect. The cost of this switch I would agree was overpriced. However; I am fully satisfied.","29 Aug 2020","","","Verified Purchase","Britney Marie","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"Perfect!!","Great product! Came one day early too!","16 Jun 2020","","https://images-na.ssl-images-amazon.com/images/I/71l5Tsthr9L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/8167QF5X2fL._SY88.jpg","Verified Purchase","joseph lyons","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"LIFESAVER","Love this product!","03 Aug 2020","","","Verified Purchase","Gilberto Ruiz","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"Gift","Gift","09 Sep 2020","","","Verified Purchase","i ski","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"No 32gb memory card.","No memory card, packaged nicely though and nintendo switch works. Was under the impression we got a 32gb memory card with it though","23 Sep 2020","","https://images-na.ssl-images-amazon.com/images/I/61ps1r5MsxL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71TS1LYaNbL._SY88.jpg","Verified Purchase","Ashley Heckert","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"$200 above retail price. Awful","Taking advantage of product shortage during pandemic.","03 Jun 2020","","","","Amazon Customer","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"Came in original packing","Product was essentially brand new for the price of 500 total, post markups. Do with this information what you will.","26 Jun 2020","","","Verified Purchase","Austin S.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"Awesome","Got it quick and it’s great","07 Jul 2020","","","Verified Purchase","Sarah Rassbach","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"Delivery time","Love it!!! I use it everyday! It was delivered very quickly and in great working order!","09 Nov 2020","","","Verified Purchase","Jessica","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"👍🏻","👍🏻","08 Aug 2020","","","Verified Purchase","ibraheem","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
"
"Reliving my childhood.","This has been a bright spot during the pandemic for the whole family. Just awesome.","29 Jul 2020","","","Verified Purchase","Sam","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Great system for all of the family","Great nintendo system love it got it for the wife but the whole family loves it","07 Oct 2020","","","Verified Purchase","BRIAN BOLLINGBERGMAXSON","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Shipped fast, already having fun!","Probably a bad idea to get a Switch and Animal Crossing during final exams. I never want to put it down!","01 May 2020","","","Verified Purchase","Hannah H.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"DID NOT INCLUDE 32 GB SDCARD","Expensive, did not include SDCard as advertised.","28 Oct 2020","","","Verified Purchase","Stephanie Moreno","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Opinion","Gane","04 Aug 2020","","","Verified Purchase","Stephanie","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Excellent service.","Very pleased with product. Is as described.","28 Oct 2020","","","Verified Purchase","Ms. Shauna d.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Expensive but nice","It’s good but a little more pricy than need be. But still a good find","17 Sep 2020","","","Verified Purchase","Jason Price","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Birthday","Huge birthday success even if it was over priced.","19 Jul 2020","","","Verified Purchase","T.","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Nintendo","My son loves it has it since July nothing wrong yet","21 Sep 2020","","","Verified Purchase","Tiffany Ellington","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Simple review","Overall the product came in great, had it for about a month now and I still have no problems","19 Oct 2020","","","Verified Purchase","logan holt","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
"
"Worth it","Overpriced but can’t find it any where else so sooo worth it! Love amazon!!","08 Jul 2020","","","Verified Purchase","deshawna d.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"No problems here","No problems works well got here earlier than i thought I have no complaints","20 Aug 2020","","","Verified Purchase","Darnell Thomas","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Best gift this year","Thank you for your quick service! My daughter loved her birthday present!","03 May 2020","","","Verified Purchase","Lola Stainbrook","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Amazing","I love it","11 Oct 2019","What's this?","","Verified Purchase","Jake W.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Good product, bad price","Price is too high","30 Sep 2020","","","Verified Purchase","JP Morgan","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"My granddaughters love it","The granddaughters love it.","26 Sep 2020","","","Verified Purchase","Candace E.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Switch","My client purchased it and love it.","21 Jun 2020","","","Verified Purchase","Karen Browne","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Extremely satisfied","Very good definitely will be buying one for a friends birthday","10 Sep 2020","","","Verified Purchase","Demore","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Great timing","My daughter loves her switch it came in sooner than expected. 2 thumbs up.","08 Jul 2020","","","Verified Purchase","Michelle Eubank","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"nintendo switch","I received this product in a timely manner and it was just as the shipper promised","05 Aug 2020","","","Verified Purchase","Tamie Spann","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
"
"Awesome","Great product even thought the price is doubled. Came in great condition","29 Jun 2020","","","Verified Purchase","Jaden","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"Great","Easy enough for my 7yr old to learn and use","14 Sep 2020","","","Verified Purchase","MomOfOne","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"Great product we","Works great! Silly price!","30 Jul 2020","","","Verified Purchase","matthew biggam","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"My Grandchildren love it and it’s family friendly sharing.","My grandchildren enjoy it and use it daily.","20 Aug 2020","","","Verified Purchase","BJ Lauderdale","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"Good except for the price","Received the red box (v2)","23 Jul 2020","","https://images-na.ssl-images-amazon.com/images/I/51-2J1+DZuL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71SiGXcqT9L._SY88.jpg","Verified Purchase","Xingxing Cai","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"Gotta love Nintendo","This has helped reduce my stress a lot.","27 Aug 2020","","https://images-na.ssl-images-amazon.com/images/I/61itG3F1IAL._SY88.jpg","Verified Purchase","Quinn Drem P.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"The Switch is very diverse and travel friendly!","My son loves his switch!","10 Nov 2019","What's this?","","Verified Purchase","Teresa A. Leppo","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"Very good experience","Very good experience, recommended","15 Jul 2020","","","Verified Purchase","Stephen","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
